State,Confirmed Cases,Active Cases,Cured/Discharged,Death
"Andaman and Nicobar Islands",7446,54,7265,127
"Andhra Pradesh",1875622,46126,1816930,12566
"Arunachal Pradesh",34767,2546,32054,167
"Assam",499121,28912,465806,4403
"Bihar",721114,2250,709286,9578
"Chandigarh",61604,220,60577,807
"Chhattisgarh",993045,6720,972898,13427
"Delhi",1433675,1598,1407116,24961
"Goa",165883,2604,160247,3032
"Gujarat",823132,3883,809201,10048
"Haryana",768263,1804,757091,9368
"Himachal Pradesh",201547,1885,196191,3471
"Jammu and Kashmir",314316,5630,304390,4296
"Jharkhand",345259,1113,339036,5110
"Karnataka",2831026,105249,2691123,34654
"Kerala",2877989,101556,2763616,12817
"Ladakh",19941,281,19458,202
"Lakshadweep",9659,298,9313,48
"Madhya Pradesh",789657,927,779834,8896
"Maharashtra",6026847,124415,5781551,120881
"Manipur",67317,5680,60529,1108
"Meghalaya",47985,4668,42500,817
"Mizoram",19324,4370,14863,91
"Nagaland",24850,1487,22876,487
"Odisha",897062,29390,863824,3848
"Puducherry",116414,2775,111898,1741
"Punjab",594586,4376,574231,15979
"Rajasthan",951967,1839,941218,8910
"Sikkim",19941,2170,17470,301
"Tamil Nadu",2460747,44924,2383624,32199
"Telangana",619865,15054,601184,3627
"Tripura",64644,3748,60228,668
"Uttar Pradesh",1705384,3197,1679744,22443
"Uttarakhand",339537,2510,329941,7086
"West Bengal",1493113,220991,453431,17583



